,n,GroundTruth,Static,Looped,ॐ Function (Strict)
1475,2961,Composite,Composite,Composite,Prime
1478,2967,Composite,Prime,Composite,Prime
1480,2971,Prime,Composite,Composite,Prime
1481,2973,Composite,Prime,Prime,Prime
1483,2977,Composite,Prime,Composite,Prime
1485,2981,Composite,Composite,Composite,Prime
1486,2983,Composite,Prime,Composite,Prime
1488,2987,Composite,Prime,Composite,Prime
1490,2991,Composite,Composite,Composite,Prime
1491,2993,Composite,Prime,Composite,Prime
1495,3001,Prime,Composite,Composite,Prime
1498,3007,Composite,Prime,Composite,Prime
1500,3011,Prime,Composite,Composite,Prime
1501,3013,Composite,Prime,Composite,Prime
1503,3017,Composite,Prime,Prime,Prime
1505,3021,Composite,Composite,Composite,Prime
1508,3027,Composite,Prime,Prime,Prime
1509,3029,Composite,Prime,Composite,Prime
1510,3031,Composite,Composite,Composite,Prime
1511,3033,Composite,Prime,Prime,Prime
1515,3041,Prime,Composite,Composite,Prime
1516,3043,Composite,Prime,Composite,Prime
1518,3047,Composite,Prime,Composite,Prime
1520,3051,Composite,Composite,Composite,Prime
1521,3053,Composite,Prime,Composite,Prime
1523,3057,Composite,Prime,Prime,Prime
1525,3061,Prime,Composite,Composite,Prime
1526,3063,Composite,Prime,Prime,Prime
1530,3071,Composite,Composite,Composite,Prime
1533,3077,Composite,Prime,Prime,Prime
1535,3081,Composite,Composite,Composite,Prime
1540,3091,Composite,Composite,Composite,Prime
1541,3093,Composite,Prime,Prime,Prime
1543,3097,Composite,Prime,Composite,Prime
1545,3101,Composite,Composite,Composite,Prime
1546,3103,Composite,Prime,Composite,Prime
1548,3107,Composite,Prime,Composite,Prime
1550,3111,Composite,Composite,Composite,Prime
1551,3113,Composite,Prime,Composite,Prime
1553,3117,Composite,Prime,Prime,Prime
1555,3121,Prime,Composite,Composite,Prime
1556,3123,Composite,Prime,Prime,Prime
1558,3127,Composite,Prime,Composite,Prime
1560,3131,Composite,Composite,Composite,Prime
1561,3133,Composite,Prime,Prime,Prime
1564,3139,Composite,Prime,Composite,Prime
1565,3141,Composite,Composite,Composite,Prime
1568,3147,Composite,Prime,Prime,Prime
1569,3149,Composite,Prime,Composite,Prime
1570,3151,Composite,Composite,Composite,Prime
1571,3153,Composite,Prime,Prime,Prime
1573,3157,Composite,Prime,Composite,Prime
1575,3161,Composite,Composite,Composite,Prime
1580,3171,Composite,Composite,Composite,Prime
1581,3173,Composite,Prime,Composite,Prime
1584,3179,Composite,Prime,Composite,Prime
1585,3181,Prime,Composite,Composite,Prime
1586,3183,Composite,Prime,Prime,Prime
1590,3191,Prime,Composite,Composite,Prime
1591,3193,Composite,Prime,Composite,Prime
1593,3197,Composite,Prime,Composite,Prime
1595,3201,Composite,Composite,Composite,Prime
1598,3207,Composite,Prime,Prime,Prime
1600,3211,Composite,Composite,Composite,Prime
1605,3221,Prime,Composite,Composite,Prime
1606,3223,Composite,Prime,Composite,Prime
1608,3227,Composite,Prime,Prime,Prime
1610,3231,Composite,Composite,Composite,Prime
1611,3233,Composite,Prime,Composite,Prime
1613,3237,Composite,Prime,Composite,Prime
1614,3239,Composite,Prime,Composite,Prime
1615,3241,Composite,Composite,Composite,Prime
1616,3243,Composite,Prime,Composite,Prime
1618,3247,Composite,Prime,Prime,Prime
1620,3251,Prime,Composite,Composite,Prime
1625,3261,Composite,Composite,Composite,Prime
1626,3263,Composite,Prime,Prime,Prime
1630,3271,Prime,Composite,Composite,Prime
1631,3273,Composite,Prime,Prime,Prime
1633,3277,Composite,Prime,Composite,Prime
1635,3281,Composite,Composite,Composite,Prime
1638,3287,Composite,Prime,Composite,Prime
1639,3289,Composite,Prime,Composite,Prime
1640,3291,Composite,Composite,Composite,Prime
1641,3293,Composite,Prime,Composite,Prime
1643,3297,Composite,Prime,Prime,Prime
1645,3301,Prime,Composite,Composite,Prime
1646,3303,Composite,Prime,Prime,Prime
1650,3311,Composite,Composite,Composite,Prime
1653,3317,Composite,Prime,Composite,Prime
1655,3321,Composite,Composite,Composite,Prime
1658,3327,Composite,Prime,Prime,Prime
1660,3331,Prime,Composite,Composite,Prime
1661,3333,Composite,Prime,Composite,Prime
1663,3337,Composite,Prime,Composite,Prime
1665,3341,Composite,Composite,Composite,Prime
1669,3349,Composite,Prime,Composite,Prime
1670,3351,Composite,Composite,Composite,Prime
1675,3361,Prime,Composite,Composite,Prime
1676,3363,Composite,Prime,Composite,Prime
1678,3367,Composite,Prime,Composite,Prime
1680,3371,Prime,Composite,Composite,Prime
1683,3377,Composite,Prime,Composite,Prime
1684,3379,Composite,Prime,Composite,Prime
1685,3381,Composite,Composite,Composite,Prime
1686,3383,Composite,Prime,Composite,Prime
1688,3387,Composite,Prime,Prime,Prime
1690,3391,Prime,Composite,Composite,Prime
1691,3393,Composite,Prime,Composite,Prime
1693,3397,Composite,Prime,Composite,Prime
1695,3401,Composite,Composite,Composite,Prime
1696,3403,Composite,Prime,Composite,Prime
1700,3411,Composite,Composite,Composite,Prime
1703,3417,Composite,Prime,Prime,Prime
1704,3419,Composite,Prime,Composite,Prime
1705,3421,Composite,Composite,Composite,Prime
1708,3427,Composite,Prime,Composite,Prime
1710,3431,Composite,Composite,Composite,Prime
1713,3437,Composite,Prime,Prime,Prime
1714,3439,Composite,Prime,Prime,Prime
1715,3441,Composite,Composite,Composite,Prime
1716,3443,Composite,Prime,Composite,Prime
1720,3451,Composite,Composite,Composite,Prime
1721,3453,Composite,Prime,Prime,Prime
1725,3461,Prime,Composite,Composite,Prime
1730,3471,Composite,Composite,Composite,Prime
1731,3473,Composite,Prime,Composite,Prime
1733,3477,Composite,Prime,Composite,Prime
1735,3481,Composite,Composite,Composite,Prime
1736,3483,Composite,Prime,Composite,Prime
1738,3487,Composite,Prime,Composite,Prime
1740,3491,Prime,Composite,Composite,Prime
1743,3497,Composite,Prime,Composite,Prime
1745,3501,Composite,Composite,Composite,Prime
1746,3503,Composite,Prime,Composite,Prime
1748,3507,Composite,Prime,Prime,Prime
1749,3509,Composite,Prime,Composite,Prime
1750,3511,Prime,Composite,Composite,Prime
1751,3513,Composite,Prime,Prime,Prime
1755,3521,Composite,Composite,Composite,Prime
1756,3523,Composite,Prime,Prime,Prime
1760,3531,Composite,Composite,Composite,Prime
1765,3541,Prime,Composite,Composite,Prime
1766,3543,Composite,Prime,Prime,Prime
1770,3551,Composite,Composite,Composite,Prime
1771,3553,Composite,Prime,Composite,Prime
1775,3561,Composite,Composite,Composite,Prime
1778,3567,Composite,Prime,Composite,Prime
1779,3569,Composite,Prime,Composite,Prime
1780,3571,Prime,Composite,Composite,Prime
1781,3573,Composite,Prime,Prime,Prime
1783,3577,Composite,Prime,Composite,Prime
1785,3581,Prime,Composite,Composite,Prime
1788,3587,Composite,Prime,Prime,Prime
1789,3589,Composite,Prime,Composite,Prime
1790,3591,Composite,Composite,Composite,Prime
1793,3597,Composite,Prime,Composite,Prime
1794,3599,Composite,Prime,Composite,Prime
1795,3601,Composite,Composite,Composite,Prime
1796,3603,Composite,Prime,Prime,Prime
1800,3611,Composite,Composite,Composite,Prime
1805,3621,Composite,Composite,Composite,Prime
1809,3629,Composite,Prime,Prime,Prime
1810,3631,Prime,Composite,Composite,Prime
1815,3641,Composite,Composite,Composite,Prime
1818,3647,Composite,Prime,Prime,Prime
1819,3649,Composite,Prime,Composite,Prime
1820,3651,Composite,Composite,Composite,Prime
1821,3653,Composite,Prime,Prime,Prime
1823,3657,Composite,Prime,Composite,Prime
1825,3661,Composite,Composite,Composite,Prime
1826,3663,Composite,Prime,Composite,Prime
1828,3667,Composite,Prime,Composite,Prime
1830,3671,Prime,Composite,Composite,Prime
1834,3679,Composite,Prime,Composite,Prime
1835,3681,Composite,Composite,Composite,Prime
1836,3683,Composite,Prime,Composite,Prime
1838,3687,Composite,Prime,Prime,Prime
1840,3691,Prime,Composite,Composite,Prime
1841,3693,Composite,Prime,Prime,Prime
1845,3701,Prime,Composite,Composite,Prime
1848,3707,Composite,Prime,Composite,Prime
1850,3711,Composite,Composite,Composite,Prime
1851,3713,Composite,Prime,Composite,Prime
1855,3721,Composite,Composite,Composite,Prime
1856,3723,Composite,Prime,Composite,Prime
1860,3731,Composite,Composite,Composite,Prime
1863,3737,Composite,Prime,Composite,Prime
1865,3741,Composite,Composite,Composite,Prime
1866,3743,Composite,Prime,Composite,Prime
1868,3747,Composite,Prime,Prime,Prime
1869,3749,Composite,Prime,Composite,Prime
1870,3751,Composite,Composite,Composite,Prime
1871,3753,Composite,Prime,Prime,Prime
1873,3757,Composite,Prime,Composite,Prime
1875,3761,Prime,Composite,Composite,Prime
1876,3763,Composite,Prime,Composite,Prime
1880,3771,Composite,Composite,Composite,Prime
1883,3777,Composite,Prime,Prime,Prime
1885,3781,Composite,Composite,Composite,Prime
1886,3783,Composite,Prime,Composite,Prime
1888,3787,Composite,Prime,Prime,Prime
1890,3791,Composite,Composite,Composite,Prime
1894,3799,Composite,Prime,Composite,Prime
1895,3801,Composite,Composite,Composite,Prime
1899,3809,Composite,Prime,Composite,Prime
1900,3811,Composite,Composite,Composite,Prime
1901,3813,Composite,Prime,Composite,Prime
1903,3817,Composite,Prime,Composite,Prime
1905,3821,Prime,Composite,Composite,Prime
1908,3827,Composite,Prime,Composite,Prime
1910,3831,Composite,Composite,Composite,Prime
1913,3837,Composite,Prime,Prime,Prime
1914,3839,Composite,Prime,Composite,Prime
1915,3841,Composite,Composite,Composite,Prime
1920,3851,Prime,Composite,Composite,Prime
1923,3857,Composite,Prime,Composite,Prime
1924,3859,Composite,Prime,Composite,Prime
1925,3861,Composite,Composite,Composite,Prime
1928,3867,Composite,Prime,Prime,Prime
1929,3869,Composite,Prime,Composite,Prime
1930,3871,Composite,Composite,Composite,Prime
1931,3873,Composite,Prime,Prime,Prime
1935,3881,Prime,Composite,Composite,Prime
1936,3883,Composite,Prime,Composite,Prime
1938,3887,Composite,Prime,Composite,Prime
1940,3891,Composite,Composite,Composite,Prime
1941,3893,Composite,Prime,Composite,Prime
1945,3901,Composite,Composite,Composite,Prime
1946,3903,Composite,Prime,Prime,Prime
1950,3911,Prime,Composite,Composite,Prime
1955,3921,Composite,Composite,Composite,Prime
1958,3927,Composite,Prime,Composite,Prime
1960,3931,Prime,Composite,Composite,Prime
1961,3933,Composite,Prime,Composite,Prime
1963,3937,Composite,Prime,Composite,Prime
1965,3941,Composite,Composite,Composite,Prime
1969,3949,Composite,Prime,Composite,Prime
1970,3951,Composite,Composite,Composite,Prime
1971,3953,Composite,Prime,Composite,Prime
1973,3957,Composite,Prime,Prime,Prime
1974,3959,Composite,Prime,Composite,Prime
1975,3961,Composite,Composite,Composite,Prime
1976,3963,Composite,Prime,Prime,Prime
1980,3971,Composite,Composite,Composite,Prime
1981,3973,Composite,Prime,Composite,Prime
1983,3977,Composite,Prime,Composite,Prime
1984,3979,Composite,Prime,Composite,Prime
1985,3981,Composite,Composite,Composite,Prime
1990,3991,Composite,Composite,Composite,Prime
1991,3993,Composite,Prime,Composite,Prime
1993,3997,Composite,Prime,Prime,Prime
1995,4001,Prime,Composite,Composite,Prime
1999,4009,Composite,Prime,Prime,Prime
2000,4011,Composite,Composite,Composite,Prime
2003,4017,Composite,Prime,Composite,Prime
2005,4021,Prime,Composite,Composite,Prime
2006,4023,Composite,Prime,Prime,Prime
2010,4031,Composite,Composite,Composite,Prime
2011,4033,Composite,Prime,Composite,Prime
2013,4037,Composite,Prime,Composite,Prime
2015,4041,Composite,Composite,Composite,Prime
2016,4043,Composite,Prime,Prime,Prime
2018,4047,Composite,Prime,Composite,Prime
2020,4051,Prime,Composite,Composite,Prime
2025,4061,Composite,Composite,Composite,Prime
2026,4063,Composite,Prime,Composite,Prime
2028,4067,Composite,Prime,Composite,Prime
2029,4069,Composite,Prime,Composite,Prime
2030,4071,Composite,Composite,Composite,Prime
2035,4081,Composite,Composite,Composite,Prime
2036,4083,Composite,Prime,Prime,Prime
2038,4087,Composite,Prime,Composite,Prime
2040,4091,Prime,Composite,Composite,Prime
2043,4097,Composite,Prime,Prime,Prime
2045,4101,Composite,Composite,Composite,Prime
2046,4103,Composite,Prime,Composite,Prime
2048,4107,Composite,Prime,Prime,Prime
2050,4111,Prime,Composite,Composite,Prime
2051,4113,Composite,Prime,Prime,Prime
2053,4117,Composite,Prime,Composite,Prime
2055,4121,Composite,Composite,Composite,Prime
2060,4131,Composite,Composite,Composite,Prime
2063,4137,Composite,Prime,Prime,Prime
2065,4141,Composite,Composite,Composite,Prime
2066,4143,Composite,Prime,Prime,Prime
2068,4147,Composite,Prime,Composite,Prime
2070,4151,Composite,Composite,Composite,Prime
2075,4161,Composite,Composite,Composite,Prime
2076,4163,Composite,Prime,Prime,Prime
2079,4169,Composite,Prime,Composite,Prime
2080,4171,Composite,Composite,Composite,Prime
2081,4173,Composite,Prime,Composite,Prime
2085,4181,Composite,Composite,Composite,Prime
2086,4183,Composite,Prime,Composite,Prime
2088,4187,Composite,Prime,Composite,Prime
2089,4189,Composite,Prime,Composite,Prime
2090,4191,Composite,Composite,Composite,Prime
2093,4197,Composite,Prime,Prime,Prime
2094,4199,Composite,Prime,Composite,Prime
2095,4201,Prime,Composite,Composite,Prime
2096,4203,Composite,Prime,Prime,Prime
2098,4207,Composite,Prime,Prime,Prime
2100,4211,Prime,Composite,Composite,Prime
2101,4213,Composite,Prime,Composite,Prime
2105,4221,Composite,Composite,Composite,Prime
2106,4223,Composite,Prime,Composite,Prime
2108,4227,Composite,Prime,Prime,Prime
2110,4231,Prime,Composite,Composite,Prime
2111,4233,Composite,Prime,Composite,Prime
2113,4237,Composite,Prime,Composite,Prime
2115,4241,Prime,Composite,Composite,Prime
2118,4247,Composite,Prime,Composite,Prime
2120,4251,Composite,Composite,Composite,Prime
2125,4261,Prime,Composite,Composite,Prime
2128,4267,Composite,Prime,Prime,Prime
2130,4271,Prime,Composite,Composite,Prime
2133,4277,Composite,Prime,Composite,Prime
2134,4279,Composite,Prime,Composite,Prime
2135,4281,Composite,Composite,Composite,Prime
2138,4287,Composite,Prime,Prime,Prime
2140,4291,Composite,Composite,Composite,Prime
2141,4293,Composite,Prime,Composite,Prime
2145,4301,Composite,Composite,Composite,Prime
2146,4303,Composite,Prime,Prime,Prime
2148,4307,Composite,Prime,Composite,Prime
2149,4309,Composite,Prime,Composite,Prime
2150,4311,Composite,Composite,Composite,Prime
2151,4313,Composite,Prime,Composite,Prime
2153,4317,Composite,Prime,Prime,Prime
2155,4321,Composite,Composite,Composite,Prime
2156,4323,Composite,Prime,Composite,Prime
2160,4331,Composite,Composite,Composite,Prime
2165,4341,Composite,Composite,Composite,Prime
2166,4343,Composite,Prime,Composite,Prime
2170,4351,Composite,Composite,Composite,Prime
2171,4353,Composite,Prime,Prime,Prime
2175,4361,Composite,Composite,Composite,Prime
2178,4367,Composite,Prime,Composite,Prime
2179,4369,Composite,Prime,Composite,Prime
2180,4371,Composite,Composite,Composite,Prime
2183,4377,Composite,Prime,Prime,Prime
2184,4379,Composite,Prime,Composite,Prime
2185,4381,Composite,Composite,Composite,Prime
2186,4383,Composite,Prime,Prime,Prime
2188,4387,Composite,Prime,Composite,Prime
2190,4391,Prime,Composite,Composite,Prime
2191,4393,Composite,Prime,Prime,Prime
2194,4399,Composite,Prime,Composite,Prime
2195,4401,Composite,Composite,Composite,Prime
2198,4407,Composite,Prime,Composite,Prime
2200,4411,Composite,Composite,Composite,Prime
2201,4413,Composite,Prime,Prime,Prime
2203,4417,Composite,Prime,Prime,Prime
2205,4421,Prime,Composite,Composite,Prime
2208,4427,Composite,Prime,Composite,Prime
2209,4429,Composite,Prime,Composite,Prime
2210,4431,Composite,Composite,Composite,Prime
2211,4433,Composite,Prime,Composite,Prime
2214,4439,Composite,Prime,Composite,Prime
2215,4441,Prime,Composite,Composite,Prime
2216,4443,Composite,Prime,Prime,Prime
2220,4451,Prime,Composite,Composite,Prime
2221,4453,Composite,Prime,Composite,Prime
2225,4461,Composite,Composite,Composite,Prime
2228,4467,Composite,Prime,Prime,Prime
2229,4469,Composite,Prime,Composite,Prime
2230,4471,Composite,Composite,Composite,Prime
2233,4477,Composite,Prime,Composite,Prime
2235,4481,Prime,Composite,Composite,Prime
2238,4487,Composite,Prime,Prime,Prime
2239,4489,Composite,Prime,Composite,Prime
2240,4491,Composite,Composite,Composite,Prime
2243,4497,Composite,Prime,Prime,Prime
2244,4499,Composite,Prime,Composite,Prime
2245,4501,Composite,Composite,Composite,Prime
2246,4503,Composite,Prime,Composite,Prime
2250,4511,Composite,Composite,Composite,Prime
2255,4521,Composite,Composite,Composite,Prime
2260,4531,Composite,Composite,Composite,Prime
2261,4533,Composite,Prime,Prime,Prime
2263,4537,Composite,Prime,Composite,Prime
2265,4541,Composite,Composite,Composite,Prime
2270,4551,Composite,Composite,Composite,Prime
2271,4553,Composite,Prime,Composite,Prime
2273,4557,Composite,Prime,Composite,Prime
2274,4559,Composite,Prime,Composite,Prime
2275,4561,Prime,Composite,Composite,Prime
2276,4563,Composite,Prime,Prime,Prime
2280,4571,Composite,Composite,Composite,Prime
2281,4573,Composite,Prime,Composite,Prime
2283,4577,Composite,Prime,Composite,Prime
2284,4579,Composite,Prime,Prime,Prime
2285,4581,Composite,Composite,Composite,Prime
2288,4587,Composite,Prime,Composite,Prime
2289,4589,Composite,Prime,Composite,Prime
2290,4591,Prime,Composite,Composite,Prime
2291,4593,Composite,Prime,Prime,Prime
2295,4601,Composite,Composite,Composite,Prime
2298,4607,Composite,Prime,Prime,Prime
2299,4609,Composite,Prime,Composite,Prime
2300,4611,Composite,Composite,Composite,Prime
2304,4619,Composite,Prime,Composite,Prime
2305,4621,Prime,Composite,Composite,Prime
2306,4623,Composite,Prime,Composite,Prime
2308,4627,Composite,Prime,Prime,Prime
2310,4631,Composite,Composite,Composite,Prime
2311,4633,Composite,Prime,Composite,Prime
2315,4641,Composite,Composite,Composite,Prime
2318,4647,Composite,Prime,Prime,Prime
2320,4651,Prime,Composite,Composite,Prime
2321,4653,Composite,Prime,Composite,Prime
2325,4661,Composite,Composite,Composite,Prime
2328,4667,Composite,Prime,Composite,Prime
2330,4671,Composite,Composite,Composite,Prime
2333,4677,Composite,Prime,Prime,Prime
2335,4681,Composite,Composite,Composite,Prime
2338,4687,Composite,Prime,Composite,Prime
2340,4691,Prime,Composite,Composite,Prime
2341,4693,Composite,Prime,Composite,Prime
2343,4697,Composite,Prime,Composite,Prime
2344,4699,Composite,Prime,Composite,Prime
2345,4701,Composite,Composite,Composite,Prime
2349,4709,Composite,Prime,Composite,Prime
2350,4711,Composite,Composite,Composite,Prime
2351,4713,Composite,Prime,Prime,Prime
2353,4717,Composite,Prime,Composite,Prime
2355,4721,Prime,Composite,Composite,Prime
2358,4727,Composite,Prime,Composite,Prime
2360,4731,Composite,Composite,Composite,Prime
2363,4737,Composite,Prime,Prime,Prime
2365,4741,Composite,Composite,Composite,Prime
2366,4743,Composite,Prime,Composite,Prime
2368,4747,Composite,Prime,Composite,Prime
2370,4751,Prime,Composite,Composite,Prime
2373,4757,Composite,Prime,Composite,Prime
2375,4761,Composite,Composite,Composite,Prime
2376,4763,Composite,Prime,Composite,Prime
2378,4767,Composite,Prime,Prime,Prime
2379,4769,Composite,Prime,Prime,Prime
2380,4771,Composite,Composite,Composite,Prime
2381,4773,Composite,Prime,Composite,Prime
2383,4777,Composite,Prime,Prime,Prime
2385,4781,Composite,Composite,Composite,Prime
2390,4791,Composite,Composite,Composite,Prime
2395,4801,Prime,Composite,Composite,Prime
2396,4803,Composite,Prime,Prime,Prime
2398,4807,Composite,Prime,Composite,Prime
2400,4811,Composite,Composite,Composite,Prime
2404,4819,Composite,Prime,Composite,Prime
2405,4821,Composite,Composite,Composite,Prime
2408,4827,Composite,Prime,Prime,Prime
2409,4829,Composite,Prime,Composite,Prime
2410,4831,Prime,Composite,Composite,Prime
2411,4833,Composite,Prime,Prime,Prime
2413,4837,Composite,Prime,Prime,Prime
2415,4841,Composite,Composite,Composite,Prime
2416,4843,Composite,Prime,Composite,Prime
2418,4847,Composite,Prime,Prime,Prime
2419,4849,Composite,Prime,Composite,Prime
2420,4851,Composite,Composite,Composite,Prime
2421,4853,Composite,Prime,Prime,Prime
2423,4857,Composite,Prime,Prime,Prime
2424,4859,Composite,Prime,Composite,Prime
2425,4861,Prime,Composite,Composite,Prime
2426,4863,Composite,Prime,Prime,Prime
2428,4867,Composite,Prime,Composite,Prime
2430,4871,Prime,Composite,Composite,Prime
2431,4873,Composite,Prime,Composite,Prime
2435,4881,Composite,Composite,Composite,Prime
2436,4883,Composite,Prime,Composite,Prime
2440,4891,Composite,Composite,Composite,Prime
2443,4897,Composite,Prime,Composite,Prime
2445,4901,Composite,Composite,Composite,Prime
2448,4907,Composite,Prime,Prime,Prime
2450,4911,Composite,Composite,Composite,Prime
2451,4913,Composite,Prime,Composite,Prime
2453,4917,Composite,Prime,Composite,Prime
2455,4921,Composite,Composite,Composite,Prime
2456,4923,Composite,Prime,Prime,Prime
2458,4927,Composite,Prime,Composite,Prime
2460,4931,Prime,Composite,Composite,Prime
2464,4939,Composite,Prime,Composite,Prime
2465,4941,Composite,Composite,Composite,Prime
2468,4947,Composite,Prime,Prime,Prime
2470,4951,Prime,Composite,Composite,Prime
2471,4953,Composite,Prime,Composite,Prime
2475,4961,Composite,Composite,Composite,Prime
2480,4971,Composite,Composite,Composite,Prime
2484,4979,Composite,Prime,Composite,Prime
2485,4981,Composite,Composite,Composite,Prime
2486,4983,Composite,Prime,Composite,Prime
2490,4991,Composite,Composite,Composite,Prime
2493,4997,Composite,Prime,Composite,Prime
2495,5001,Composite,Composite,Composite,Prime
2498,5007,Composite,Prime,Prime,Prime
2500,5011,Prime,Composite,Composite,Prime
2501,5013,Composite,Prime,Prime,Prime
2503,5017,Composite,Prime,Composite,Prime
2505,5021,Prime,Composite,Composite,Prime
2508,5027,Composite,Prime,Composite,Prime
2509,5029,Composite,Prime,Composite,Prime
2510,5031,Composite,Composite,Composite,Prime
2513,5037,Composite,Prime,Composite,Prime
2515,5041,Composite,Composite,Composite,Prime
2516,5043,Composite,Prime,Composite,Prime
2518,5047,Composite,Prime,Composite,Prime
2520,5051,Prime,Composite,Composite,Prime
2521,5053,Composite,Prime,Composite,Prime
2523,5057,Composite,Prime,Composite,Prime
2525,5061,Composite,Composite,Composite,Prime
2526,5063,Composite,Prime,Composite,Prime
2529,5069,Composite,Prime,Composite,Prime
2530,5071,Composite,Composite,Composite,Prime
2531,5073,Composite,Prime,Composite,Prime
2535,5081,Prime,Composite,Composite,Prime
2536,5083,Composite,Prime,Composite,Prime
2540,5091,Composite,Composite,Composite,Prime
2541,5093,Composite,Prime,Composite,Prime
2543,5097,Composite,Prime,Prime,Prime
2545,5101,Prime,Composite,Composite,Prime
2550,5111,Composite,Composite,Composite,Prime
2553,5117,Composite,Prime,Composite,Prime
2555,5121,Composite,Composite,Composite,Prime
2556,5123,Composite,Prime,Composite,Prime
2558,5127,Composite,Prime,Prime,Prime
2559,5129,Composite,Prime,Composite,Prime
2560,5131,Composite,Composite,Composite,Prime
2561,5133,Composite,Prime,Composite,Prime
2563,5137,Composite,Prime,Composite,Prime
2565,5141,Composite,Composite,Composite,Prime
2566,5143,Composite,Prime,Composite,Prime
2569,5149,Composite,Prime,Prime,Prime
2570,5151,Composite,Composite,Composite,Prime
2575,5161,Composite,Composite,Composite,Prime
2576,5163,Composite,Prime,Prime,Prime
2580,5171,Prime,Composite,Composite,Prime
2583,5177,Composite,Prime,Composite,Prime
2585,5181,Composite,Composite,Composite,Prime
2586,5183,Composite,Prime,Composite,Prime
2588,5187,Composite,Prime,Composite,Prime
2590,5191,Composite,Composite,Composite,Prime
2591,5193,Composite,Prime,Prime,Prime
2595,5201,Composite,Composite,Composite,Prime
2596,5203,Composite,Prime,Composite,Prime
2598,5207,Composite,Prime,Composite,Prime
2600,5211,Composite,Composite,Composite,Prime
2601,5213,Composite,Prime,Prime,Prime
2603,5217,Composite,Prime,Prime,Prime
2604,5219,Composite,Prime,Composite,Prime
2605,5221,Composite,Composite,Composite,Prime
2606,5223,Composite,Prime,Prime,Prime
2610,5231,Prime,Composite,Composite,Prime
2614,5239,Composite,Prime,Composite,Prime
2615,5241,Composite,Composite,Composite,Prime
2619,5249,Composite,Prime,Composite,Prime
2620,5251,Composite,Composite,Composite,Prime
2621,5253,Composite,Prime,Composite,Prime
2623,5257,Composite,Prime,Prime,Prime
2625,5261,Prime,Composite,Composite,Prime
2626,5263,Composite,Prime,Composite,Prime
2628,5267,Composite,Prime,Composite,Prime
2629,5269,Composite,Prime,Composite,Prime
2630,5271,Composite,Composite,Composite,Prime
2633,5277,Composite,Prime,Prime,Prime
2635,5281,Prime,Composite,Composite,Prime
2636,5283,Composite,Prime,Prime,Prime
2638,5287,Composite,Prime,Prime,Prime
2640,5291,Composite,Composite,Composite,Prime
2641,5293,Composite,Prime,Composite,Prime
2645,5301,Composite,Composite,Composite,Prime
2648,5307,Composite,Prime,Composite,Prime
2650,5311,Composite,Composite,Composite,Prime
2653,5317,Composite,Prime,Composite,Prime
2655,5321,Composite,Composite,Composite,Prime
2658,5327,Composite,Prime,Prime,Prime
2659,5329,Composite,Prime,Composite,Prime
2660,5331,Composite,Composite,Composite,Prime
2664,5339,Composite,Prime,Prime,Prime
2665,5341,Composite,Composite,Composite,Prime
2666,5343,Composite,Prime,Composite,Prime
2670,5351,Prime,Composite,Composite,Prime
2671,5353,Composite,Prime,Composite,Prime
2673,5357,Composite,Prime,Composite,Prime
2674,5359,Composite,Prime,Composite,Prime
2675,5361,Composite,Composite,Composite,Prime
2676,5363,Composite,Prime,Composite,Prime
2678,5367,Composite,Prime,Prime,Prime
2680,5371,Composite,Composite,Composite,Prime
2681,5373,Composite,Prime,Prime,Prime
2683,5377,Composite,Prime,Composite,Prime
2685,5381,Prime,Composite,Composite,Prime
2689,5389,Composite,Prime,Composite,Prime
2690,5391,Composite,Composite,Composite,Prime
2693,5397,Composite,Prime,Prime,Prime
2695,5401,Composite,Composite,Composite,Prime
2696,5403,Composite,Prime,Prime,Prime
2700,5411,Composite,Composite,Composite,Prime
2705,5421,Composite,Composite,Composite,Prime
2706,5423,Composite,Prime,Composite,Prime
2709,5429,Composite,Prime,Composite,Prime
2710,5431,Prime,Composite,Composite,Prime
2711,5433,Composite,Prime,Prime,Prime
2715,5441,Prime,Composite,Composite,Prime
2718,5447,Composite,Prime,Composite,Prime
2720,5451,Composite,Composite,Composite,Prime
2723,5457,Composite,Prime,Prime,Prime
2724,5459,Composite,Prime,Composite,Prime
2725,5461,Composite,Composite,Composite,Prime
2726,5463,Composite,Prime,Prime,Prime
2728,5467,Composite,Prime,Composite,Prime
2730,5471,Prime,Composite,Composite,Prime
2731,5473,Composite,Prime,Prime,Prime
2735,5481,Composite,Composite,Composite,Prime
2738,5487,Composite,Prime,Composite,Prime
2739,5489,Composite,Prime,Composite,Prime
2740,5491,Composite,Composite,Composite,Prime
2741,5493,Composite,Prime,Prime,Prime
2743,5497,Composite,Prime,Composite,Prime
2745,5501,Prime,Composite,Composite,Prime
2750,5511,Composite,Composite,Composite,Prime
2751,5513,Composite,Prime,Composite,Prime
2755,5521,Prime,Composite,Composite,Prime
2760,5531,Prime,Composite,Composite,Prime
2761,5533,Composite,Prime,Composite,Prime
2763,5537,Composite,Prime,Composite,Prime
2764,5539,Composite,Prime,Composite,Prime
2765,5541,Composite,Composite,Composite,Prime
2766,5543,Composite,Prime,Prime,Prime
2768,5547,Composite,Prime,Composite,Prime
2769,5549,Composite,Prime,Composite,Prime
2770,5551,Composite,Composite,Composite,Prime
2771,5553,Composite,Prime,Prime,Prime
2775,5561,Composite,Composite,Composite,Prime
2778,5567,Composite,Prime,Composite,Prime
