,n,GroundTruth,Static,Looped,ॐ Function (Strict)
394,799,Composite,Prime,Composite,Prime
395,801,Composite,Composite,Composite,Prime
396,803,Composite,Prime,Composite,Prime
398,807,Composite,Prime,Prime,Prime
400,811,Prime,Composite,Composite,Prime
401,813,Composite,Prime,Prime,Prime
403,817,Composite,Prime,Composite,Prime
405,821,Prime,Composite,Composite,Prime
410,831,Composite,Composite,Composite,Prime
415,841,Composite,Composite,Composite,Prime
416,843,Composite,Prime,Prime,Prime
418,847,Composite,Prime,Composite,Prime
420,851,Composite,Composite,Composite,Prime
425,861,Composite,Composite,Composite,Prime
428,867,Composite,Prime,Prime,Prime
429,869,Composite,Prime,Composite,Prime
430,871,Composite,Composite,Composite,Prime
431,873,Composite,Prime,Prime,Prime
435,881,Prime,Composite,Composite,Prime
440,891,Composite,Composite,Composite,Prime
441,893,Composite,Prime,Composite,Prime
443,897,Composite,Prime,Composite,Prime
444,899,Composite,Prime,Composite,Prime
445,901,Composite,Composite,Composite,Prime
450,911,Prime,Composite,Composite,Prime
451,913,Composite,Prime,Composite,Prime
453,917,Composite,Prime,Prime,Prime
455,921,Composite,Composite,Composite,Prime
456,923,Composite,Prime,Composite,Prime
460,931,Composite,Composite,Composite,Prime
461,933,Composite,Prime,Prime,Prime
465,941,Prime,Composite,Composite,Prime
466,943,Composite,Prime,Composite,Prime
469,949,Composite,Prime,Composite,Prime
470,951,Composite,Composite,Composite,Prime
473,957,Composite,Prime,Composite,Prime
475,961,Composite,Composite,Composite,Prime
476,963,Composite,Prime,Prime,Prime
480,971,Prime,Composite,Composite,Prime
484,979,Composite,Prime,Composite,Prime
485,981,Composite,Composite,Composite,Prime
488,987,Composite,Prime,Prime,Prime
489,989,Composite,Prime,Composite,Prime
490,991,Prime,Composite,Composite,Prime
491,993,Composite,Prime,Prime,Prime
495,1001,Composite,Composite,Composite,Prime
496,1003,Composite,Prime,Composite,Prime
498,1007,Composite,Prime,Composite,Prime
500,1011,Composite,Composite,Composite,Prime
505,1021,Prime,Composite,Composite,Prime
506,1023,Composite,Prime,Composite,Prime
508,1027,Composite,Prime,Composite,Prime
510,1031,Prime,Composite,Composite,Prime
513,1037,Composite,Prime,Prime,Prime
515,1041,Composite,Composite,Composite,Prime
518,1047,Composite,Prime,Prime,Prime
520,1051,Prime,Composite,Composite,Prime
521,1053,Composite,Prime,Composite,Prime
523,1057,Composite,Prime,Prime,Prime
525,1061,Prime,Composite,Composite,Prime
528,1067,Composite,Prime,Composite,Prime
530,1071,Composite,Composite,Composite,Prime
531,1073,Composite,Prime,Composite,Prime
533,1077,Composite,Prime,Prime,Prime
534,1079,Composite,Prime,Composite,Prime
535,1081,Composite,Composite,Composite,Prime
536,1083,Composite,Prime,Composite,Prime
540,1091,Prime,Composite,Composite,Prime
545,1101,Composite,Composite,Composite,Prime
550,1111,Composite,Composite,Composite,Prime
555,1121,Composite,Composite,Composite,Prime
558,1127,Composite,Prime,Composite,Prime
560,1131,Composite,Composite,Composite,Prime
561,1133,Composite,Prime,Composite,Prime
563,1137,Composite,Prime,Prime,Prime
564,1139,Composite,Prime,Composite,Prime
565,1141,Composite,Composite,Composite,Prime
566,1143,Composite,Prime,Prime,Prime
568,1147,Composite,Prime,Composite,Prime
570,1151,Prime,Composite,Composite,Prime
573,1157,Composite,Prime,Composite,Prime
574,1159,Composite,Prime,Composite,Prime
575,1161,Composite,Composite,Composite,Prime
578,1167,Composite,Prime,Prime,Prime
580,1171,Prime,Composite,Composite,Prime
581,1173,Composite,Prime,Composite,Prime
583,1177,Composite,Prime,Composite,Prime
585,1181,Prime,Composite,Composite,Prime
